technique_slug,technique_name,produces,confidence,rationale
5-whys,5 Whys,,high,"A root-cause analysis aid; produces understanding, not a standing artifact."
a-b-testing,A/B Testing,team-output-feedback,medium,Generates measured evidence from real use of variants of the output.
acceptance-criteria,Acceptance Criteria,team-quality-user-expectations team-selected-work-items,high,"Defines the conditions an item must meet, populating the quality bar and detailing selected items."
accessibility-audit,Accessibility Audit,team-quality-bar coord-integration-standard,medium,Sets accessibility conditions that become part of the quality/integration standard.
assumption-mapping,Assumption Mapping,,high,A discovery/analysis aid that surfaces risks; produces no specific standing artifact.
business-case,Business Case,coord-business-case,medium,Justifies and qualifies an initiative for inclusion/ordering in the portfolio backlog.
business-model-canvas,Business Model Canvas,org-business-model,high,The canonical tool for articulating the organisation's business model.
contextual-inquiry,Contextual Inquiry,coord-user-beneficiary-profile,high,Field research that builds the understanding of who is served and their needs.
cost-of-delay,Cost of Delay,,high,Quantifies economic impact to inform ordering of backlog items.
cumulative-flow-diagram,Cumulative Flow Diagram,team-delivery-health-metrics,high,Visualises flow stages over time as a delivery health indicator.
customer-interviews,Customer Interviews,coord-user-beneficiary-profile,high,"Direct conversations that articulate user needs, motivations, and pains."
daily-stand-ups,Daily Stand-ups,team-backlog,high,"A synchronisation event; produces coordination, not a standing artifact. An opportunity to inspect and adapt the team / sprint backlog. May produce a refined sprint backlog"
definition-of-done-dod,Definition of Done (DoD),team-quality-bar coord-integration-standard,high,"The DoD is the team quality bar, and at scale the shared integration standard."
delivery-plan,Delivery Plan,coord-delivery-schedule,high,Produces a high-level adaptive schedule of delivery for the initiative.
design-studio-workshop,Design Studio Workshop,coord-solution-design,medium,Collaborative sketching that shapes the solution design.
design-studio-workshops,Design Studio Workshops,coord-solution-design,medium,Iterative sketching sessions that produce candidate solution designs.
empathy-map,Empathy Map,coord-user-beneficiary-profile,high,"Articulates what a user sees, thinks, feels and does, populating the beneficiary profile."
epic-user-story,Epic User Story,coord-backlog-item,high,An epic is a large backlog item at the initiative level. Part of a backlog
estimation-shirt-sizing,T-shirt sizing,,medium,Relative sizing feeds forecasting and release / delivery planning.
experiment-cards,Experiment Cards,coord-backlog-item,medium,"Define and run tests producing evidence on assumptions about feasibility, desirability and viability. Experiment is an item on a (product) backlog"
fake-door-tests,Fake Door Tests,coord-experiment-fake-door,medium,A lightweight experiment producing demand evidence before building.
feature-slicing,Feature Slicing,,high,Breaks features into independently valuable slices that populate the backlog.
feature-toggles,Feature Toggles,,low,A delivery/engineering practice; produces no standing planning artifact. A feature of a product increment
,,,,
feature-user-story,Feature User Story,,high,A feature-level story is a backlog item that can be pulled into a cycle. Part of a backlog
fishbone-diagram,Fishbone Diagram,,low,"A cause-and-effect analysis aid; produces understanding, not an artifact."
flow-metrics,Flow Metrics,,high,"Cycle time, lead time and throughput are core delivery health metrics."
,,,,
functional-decomposition,Functional Decomposition,coord-solution-design,low,"Breaks systems into parts, contributing to solution structure; weak artifact fit."
